OBJECTID,Street1,Street2,Intersect,Long,Lat
1,Carrie,Ellery,Carrie St & Ellery St,-123.395760956699,48.4373539444194
2,Carrie,Ellery,Ellery St & Carrie St,-123.395760956699,48.4373539444194
3,Hotham,Kellett,Hotham St & Kellett Cres,-123.4170721167,48.4401150222293
4,Hotham,Kellett,Kellett Cres & Hotham St,-123.4170721167,48.4401150222293
5,Hotham,Kellett,Hotham St & Kellett Cres,-123.4170721167,48.4401150222293
6,Hotham,Kellett,Kellett Cres & Hotham St,-123.4170721167,48.4401150222293
7,De Costa,Selkirk,De Costa Pl & Selkirk Ave,-123.395689972987,48.4418277959025
8,De Costa,Selkirk,Selkirk Ave & De Costa Pl,-123.395689972987,48.4418277959025
9,Gault,Strange,Strange St & Gault Cres,-123.401569953784,48.4254097914167
10,Gault,Strange,Gault Cres & Strange St,-123.401569953784,48.4254097914167
11,Ellery,Lampson,Ellery St & Lampson St,-123.402452489985,48.437273010505
12,Ellery,Lampson,Lampson St & Ellery St,-123.402452489985,48.437273010505
13,Ellery,Lampson,Ellery St & Lampson St,-123.402452489985,48.437273010505
14,Ellery,Lampson,Lampson St & Ellery St,-123.402452489985,48.437273010505
15,Grafton,Lyall,Lyall St & Grafton St,-123.423114901991,48.4283440487073
16,Grafton,Lyall,Grafton St & Lyall St,-123.423114901991,48.4283440487073
17,Grafton,Lyall,Lyall St & Grafton St,-123.423114901991,48.4283440487073
18,Grafton,Lyall,Grafton St & Lyall St,-123.423114901991,48.4283440487073
19,Old Esquimalt,Warder,Warder Pl & Old Esquimalt Rd,-123.408314196974,48.432141113626
20,Old Esquimalt,Warder,Old Esquimalt Rd & Warder Pl,-123.408314196974,48.432141113626
21,Heald,S Joffre,Heald Ave & S Joffre St,-123.410021016189,48.4265015008387
22,Heald,S Joffre,S Joffre St & Heald Ave,-123.410021016189,48.4265015008387
23,Kinver,S Joffre,Kinver St & S Joffre St,-123.410021016189,48.4265015008387
24,Kinver,S Joffre,S Joffre St & Kinver St,-123.410021016189,48.4265015008387
25,Fraser,Greenwood,Fraser St & Greenwood Ave,-123.415158301972,48.4253771177231
26,Fraser,Greenwood,Greenwood Ave & Fraser St,-123.415158301972,48.4253771177231
27,Fraser,Greenwood,Fraser St & Greenwood Ave,-123.415158301972,48.4253771177231
28,Fraser,Greenwood,Greenwood Ave & Fraser St,-123.415158301972,48.4253771177231
29,Ellery,Fairview,Ellery St & Fairview Rd,-123.39900626926,48.4373119653231
30,Ellery,Fairview,Fairview Rd & Ellery St,-123.39900626926,48.4373119653231
31,Ellery,Fairview,Ellery St & Fairview Rd,-123.39900626926,48.4373119653231
32,Ellery,Fairview,Fairview Rd & Ellery St,-123.39900626926,48.4373119653231
33,Esquimalt,Joffre,Joffre St & Esquimalt Rd,-123.407979757471,48.4296998617295
34,Esquimalt,Joffre,Esquimalt Rd & Joffre St,-123.407979757471,48.4296998617295
35,Esquimalt,Joffre,Joffre St & Esquimalt Rd,-123.407979757471,48.4296998617295
36,Esquimalt,Joffre,Esquimalt Rd & Joffre St,-123.407979757471,48.4296998617295
37,Canteen,Esquimalt,Esquimalt Rd & Canteen Rd,-123.424498940551,48.4293164882376
38,Canteen,Esquimalt,Canteen Rd & Esquimalt Rd,-123.424498940551,48.4293164882376
39,Canteen,Esquimalt,Esquimalt Rd & Canteen Rd,-123.424498940551,48.4293164882376
40,Canteen,Esquimalt,Canteen Rd & Esquimalt Rd,-123.424498940551,48.4293164882376
41,Lampson,Munro,Lampson St & Munro St,-123.409319042417,48.4215802767692
42,Lampson,Munro,Munro St & Lampson St,-123.409319042417,48.4215802767692
43,Selkirk,Uganda,Uganda Ave & Selkirk Ave,-123.400796696428,48.4430399148211
44,Selkirk,Uganda,Selkirk Ave & Uganda Ave,-123.400796696428,48.4430399148211
45,Vaughan,View Point,View Point Rd & Vaughan St,-123.405772985651,48.4192551268237
46,Vaughan,View Point,Vaughan St & View Point Rd,-123.405772985651,48.4192551268237
47,Miles,Nelson,Nelson St & Miles St,-123.419158650133,48.4303245694537
48,Miles,Nelson,Miles St & Nelson St,-123.419158650133,48.4303245694537
49,Miles,Nelson,Nelson St & Miles St,-123.419158650133,48.4303245694537
50,Miles,Nelson,Miles St & Nelson St,-123.419158650133,48.4303245694537
51,Munro,Plaskett,Plaskett Pl & Munro St,-123.413628797501,48.4221843470372
52,Munro,Plaskett,Munro St & Plaskett Pl,-123.413628797501,48.4221843470372
53,Lampson,Lyall,Lampson St & Lyall St,-123.407605353316,48.4272495104734
54,Lampson,Lyall,Lyall St & Lampson St,-123.407605353316,48.4272495104734
55,Lampson,Lyall,Lampson St & Lyall St,-123.407605353316,48.4272495104734
56,Lampson,Lyall,Lyall St & Lampson St,-123.407605353316,48.4272495104734
57,Esquimalt,MacAulay,Esquimalt Rd & MacAulay St,-123.403612176291,48.4291302437514
58,Esquimalt,MacAulay,MacAulay St & Esquimalt Rd,-123.403612176291,48.4291302437514
59,Esquimalt,MacAulay,Esquimalt Rd & MacAulay St,-123.403612176291,48.4291302437514
60,Esquimalt,MacAulay,MacAulay St & Esquimalt Rd,-123.403612176291,48.4291302437514
61,Esquimalt,Joffre,Joffre St & Esquimalt Rd,-123.407963320671,48.4297535677263
62,Esquimalt,Joffre,Esquimalt Rd & Joffre St,-123.407963320671,48.4297535677263
63,Lampson,Wychbury,Lampson St & Wychbury Ave,-123.408155836599,48.4253782069312
64,Lampson,Wychbury,Wychbury Ave & Lampson St,-123.408155836599,48.4253782069312
65,Lampson,Wychbury,Lampson St & Wychbury Ave,-123.408155836599,48.4253782069312
66,Lampson,Wychbury,Wychbury Ave & Lampson St,-123.408155836599,48.4253782069312
67,Hadfield,Kinver,Kinver St & Hadfield Ave,-123.411144743246,48.4228559096024
68,Hadfield,Kinver,Hadfield Ave & Kinver St,-123.411144743246,48.4228559096024
69,Hadfield,Kinver,Kinver St & Hadfield Ave,-123.411144743246,48.4228559096024
70,Hadfield,Kinver,Hadfield Ave & Kinver St,-123.411144743246,48.4228559096024
71,Colville,Hutchinson,Colville Rd & Hutchinson Ave,-123.410635111388,48.4383030426152
72,Colville,Hutchinson,Hutchinson Ave & Colville Rd,-123.410635111388,48.4383030426152
73,Colville,Hutchinson,Colville Rd & Hutchinson Ave,-123.410635111388,48.4383030426152
74,Colville,Hutchinson,Hutchinson Ave & Colville Rd,-123.410635111388,48.4383030426152
75,Fraser,Juno,Juno St & Fraser St,-123.414153646229,48.427095780699
76,Fraser,Juno,Fraser St & Juno St,-123.414153646229,48.427095780699
77,Malvern,Victoria View,Victoria View Rd & Malvern St,-123.399534052514,48.4242307318276
78,Malvern,Victoria View,Malvern St & Victoria View Rd,-123.399534052514,48.4242307318276
79,Colville,Condor,Colville Rd & Condor Ave,-123.404477265276,48.4387646229955
80,Colville,Condor,Condor Ave & Colville Rd,-123.404477265276,48.4387646229955
81,Colville,Condor,Colville Rd & Condor Ave,-123.404477265276,48.4387646229955
82,Colville,Condor,Condor Ave & Colville Rd,-123.404477265276,48.4387646229955
83,MacAulay,Moody,MacAulay St & Moody Cres,-123.404814880339,48.4254578027501
84,MacAulay,Moody,Moody Cres & MacAulay St,-123.404814880339,48.4254578027501
85,MacAulay,Moody,MacAulay St & Moody Cres,-123.404814880339,48.4254578027501
86,MacAulay,Moody,Moody Cres & MacAulay St,-123.404814880339,48.4254578027501
87,Rankin,Treebank,Rankin Rd & Treebank Rd W,-123.417390441957,48.4495319279231
88,Rankin,Treebank,Treebank Rd W & Rankin Rd,-123.417390441957,48.4495319279231
89,Rankin,Treebank,Rankin Rd & Treebank Rd W,-123.417390441957,48.4495319279231
90,Rankin,Treebank,Treebank Rd W & Rankin Rd,-123.417390441957,48.4495319279231
91,Greenwood,Kinver,Kinver St & Greenwood Ave,-123.410560697783,48.4247516634778
92,Kinver,Greenwood,Greenwood Ave & Kinver St,-123.410560697783,48.4247516634778
93,Greenwood,Kinver,Kinver St & Greenwood Ave,-123.410560697783,48.4247516634778
94,Greenwood,Kinver,Greenwood Ave & Kinver St,-123.410560697783,48.4247516634778
95,Comerford,Lyall,Comerford St & Lyall St,-123.415887316576,48.4282590442429
96,Comerford,Lyall,Lyall St & Comerford St,-123.415887316576,48.4282590442429
97,Gault,Peters,Gault Cres & Peters St,-123.400511776713,48.4249013493495
98,Gault,Peters,Peters St & Gault Cres,-123.400511776713,48.4249013493495
99,Tillicum,Transfer,Tillicum Rd & Transfer St,-123.402837428137,48.4399697917846
100,Tillicum,Transfer,Transfer St & Tillicum Rd,-123.402837428137,48.4399697917846
101,Tillicum,Transfer,Tillicum Rd & Transfer St,-123.402837428137,48.4399697917846
102,Tillicum,Transfer,Transfer St & Tillicum Rd,-123.402837428137,48.4399697917846
103,Drake,Park,Drake Ave & Park Terr,-123.413252044193,48.4310489148044
104,Drake,Park,Park Terr & Drake Ave,-123.413252044193,48.4310489148044
105,Old Esquimalt,Rockheights,Rockheights Ave & Old Esquimalt Rd,-123.411191165016,48.4319679951645
106,Old Esquimalt,Rockheights,Old Esquimalt Rd & Rockheights Ave,-123.411191165016,48.4319679951645
107,Kingsmill,Parklands,Kingsmill Rd & Parklands Dr,-123.418911680536,48.4415729695079
108,Kingsmill,Parklands,Parklands Dr & Kingsmill Rd,-123.418911680536,48.4415729695079
109,Lampson,Norma,Norma Crt & Lampson St,-123.405930402919,48.43077693648
110,Lampson,Norma,Lampson St & Norma Crt,-123.405930402919,48.43077693648
111,Constance,Esquimalt,Esquimalt Rd & Constance Ave,-123.418209439938,48.4298415187375
112,Constance,Esquimalt,Constance Ave & Esquimalt Rd,-123.418209439938,48.4298415187375
113,Constance,Esquimalt,Esquimalt Rd & Constance Ave,-123.418209439938,48.4298415187375
114,Constance,Esquimalt,Constance Ave & Esquimalt Rd,-123.418209439938,48.4298415187375
115,Admirals,Colville,Colville Rd & Admirals Rd,-123.41931957691,48.4373400113499
116,Admirals,Colville,Admirals Rd & Colville Rd,-123.41931957691,48.4373400113499
117,Admirals,Naden,Naden St & Admirals Rd,-123.41931957691,48.4373400113499
118,Admirals,Naden,Admirals Rd & Naden St,-123.41931957691,48.4373400113499
119,Peters,Victoria View,Peters St & Victoria View Rd,-123.401051231445,48.4230640516714
120,Peters,Victoria View,Victoria View Rd & Peters St,-123.401051231445,48.4230640516714
121,Peters,Victoria View,Peters St & Victoria View Rd,-123.401051231445,48.4230640516714
122,Peters,Victoria View,Victoria View Rd & Peters St,-123.401051231445,48.4230640516714
123,Astle,Constance,Constance Ave & Astle St,-123.418226392235,48.4321262044081
124,Astle,Constance,Astle St & Constance Ave,-123.418226392235,48.4321262044081
125,Astle,Constance,Constance Ave & Astle St,-123.418226392235,48.4321262044081
126,Astle,Constance,Astle St & Constance Ave,-123.418226392235,48.4321262044081
127,Highrock,Rockheights,Rockheights Ave & Highrock Ave,-123.410509765314,48.4338153587138
128,Highrock,Rockheights,Highrock Ave & Rockheights Ave,-123.410509765314,48.4338153587138
129,Highrock,Rockheights,Rockheights Ave & Highrock Ave,-123.410509765314,48.4338153587138
130,Highrock,Rockheights,Highrock Ave & Rockheights Ave,-123.410509765314,48.4338153587138
131,Bewdley,Lampson,Lampson St & Bewdley Ave,-123.408678824373,48.4235891842861
132,Bewdley,Lampson,Bewdley Ave & Lampson St,-123.408678824373,48.4235891842861
133,Bewdley,Lampson,Lampson St & Bewdley Ave,-123.408678824373,48.4235891842861
134,Bewdley,Lampson,Bewdley Ave & Lampson St,-123.408678824373,48.4235891842861
135,Anson,Munro,Munro St & Anson St,-123.404661725785,48.4209458589921
136,Anson,Munro,Anson St & Munro St,-123.404661725785,48.4209458589921
137,McAdam,Parklands,Parklands Dr & McAdam Pl,-123.423886666284,48.4403820198444
138,McAdam,Parklands,McAdam Pl & Parklands Dr,-123.423886666284,48.4403820198444
139,McAdam,Parklands,Parklands Dr & McAdam Pl,-123.423886666284,48.4403820198444
140,McAdam,Parklands,McAdam Pl & Parklands Dr,-123.423886666284,48.4403820198444
141,McAdam,Parklands,Parklands Dr & McAdam Pl,-123.423886666284,48.4403820198444
142,McAdam,Parklands,McAdam Pl & Parklands Dr,-123.423886666284,48.4403820198444
143,Craigflower,Tillicum,Tillicum Rd & Craigflower Rd,-123.402137178527,48.4418571936018
144,Craigflower,Tillicum,Craigflower Rd & Tillicum Rd,-123.402137178527,48.4418571936018
145,Craigflower,Tillicum,Tillicum Rd & Craigflower Rd,-123.402137178527,48.4418571936018
146,Craigflower,Tillicum,Craigflower Rd & Tillicum Rd,-123.402137178527,48.4418571936018
147,Fernhill,Fernhill,Fernhill Pl & Fernhill Rd,-123.409497103133,48.43094360342
148,Fernhill,Fernhill,Fernhill Rd & Fernhill Pl,-123.409497103133,48.43094360342
149,Kingsmill,Parklands,Kingsmill Rd & Parklands Dr,-123.422119024669,48.4415383703435
150,Kingsmill,Parklands,Parklands Dr & Kingsmill Rd,-123.422119024669,48.4415383703435
151,Hutchinson,Rockheights,Rockheights Ave & Hutchinson Pl,-123.409145629965,48.4352654490659
152,Hutchinson,Rockheights,Hutchinson Pl & Rockheights Ave,-123.409145629965,48.4352654490659
153,Hutchinson,Hutchinson,Hutchinson Ave & Hutchinson Pl,-123.409145629965,48.4352654490659
154,Hutchinson,Hutchinson,Hutchinson Pl & Hutchinson Ave,-123.409145629965,48.4352654490659
155,Hutchinson,Rockheights,Rockheights Ave & Hutchinson Pl,-123.409145629965,48.4352654490659
156,Hutchinson,Rockheights,Hutchinson Pl & Rockheights Ave,-123.409145629965,48.4352654490659
157,Gault,Harman,Gault Cres & Harman Ave,-123.417152178973,48.4382791320622
158,Gault,Harman,Harman Ave & Gault Cres,-123.417152178973,48.4382791320622
159,Matheson,Rockheights,Matheson Ave & Rockheights Ave,-123.404185118861,48.4365147027549
160,Matheson,Rockheights,Rockheights Ave & Matheson Ave,-123.404185118861,48.4365147027549
161,Devonshire,Lampson,Devonshire Rd & Lampson St,-123.402979186276,48.4357429559159
162,Devonshire,Lampson,Lampson St & Devonshire Rd,-123.402979186276,48.4357429559159
163,Lyall,Nelson,Nelson St & Lyall St,-123.419099407638,48.4283193191329
164,Lyall,Nelson,Lyall St & Nelson St,-123.419099407638,48.4283193191329
165,Lyall,Nelson,Nelson St & Lyall St,-123.419099407638,48.4283193191329
166,Lyall,Nelson,Lyall St & Nelson St,-123.419099407638,48.4283193191329
167,Rockcrest,Rockcrest,Rockcrest Ave & Rockcrest Pl,-123.412963987058,48.4333054040284
168,Rockcrest,Rockcrest,Rockcrest Pl & Rockcrest Ave,-123.412963987058,48.4333054040284
169,Rockcrest,Rockcrest,Rockcrest Ave & Rockcrest Pl,-123.412963987058,48.4333054040284
170,Rockcrest,Rockcrest,Rockcrest Pl & Rockcrest Ave,-123.412963987058,48.4333054040284
171,Grenville,Park,Grenville Ave & Park Terr,-123.415601275669,48.4305309202013
172,Grenville,Park,Park Terr & Grenville Ave,-123.415601275669,48.4305309202013
173,Grenville,Park,Grenville Ave & Park Terr,-123.415601275669,48.4305309202013
174,Grenville,Park,Park Terr & Grenville Ave,-123.415601275669,48.4305309202013
175,McNaughton,Uganda,McNaughton Ave & Uganda Ave,-123.399393683622,48.4446710768507
176,McNaughton,Uganda,Uganda Ave & McNaughton Ave,-123.399393683622,48.4446710768507
177,McNaughton,Uganda,McNaughton Ave & Uganda Ave,-123.399393683622,48.4446710768507
178,McNaughton,Uganda,Uganda Ave & McNaughton Ave,-123.399393683622,48.4446710768507
179,Aral,Phillion,Phillion Pl & Aral St,-123.419111825874,48.4508868604572
180,Aral,Phillion,Aral St & Phillion Pl,-123.419111825874,48.4508868604572
181,Anson,Bewdley,Anson St & Bewdley Ave,-123.404046541997,48.4229373285291
182,Anson,Bewdley,Bewdley Ave & Anson St,-123.404046541997,48.4229373285291
183,Lampson,Transfer,Transfer St & Lampson St,-123.401716358336,48.4394454046492
184,Lampson,Transfer,Lampson St & Transfer St,-123.401716358336,48.4394454046492
185,Anson,Anson,Anson St & Anson Cres,-123.405187224816,48.4191866615788
186,Anson,Anson,Anson Cres & Anson St,-123.405187224816,48.4191866615788
187,Anson,Vaughan,Vaughan St & Anson Cres,-123.405187224816,48.4191866615788
188,Anson,Vaughan,Anson Cres & Vaughan St,-123.405187224816,48.4191866615788
189,Clifton,Munro,Clifton Terr & Munro St,-123.408628371176,48.4214804064282
190,Clifton,Munro,Munro St & Clifton Terr,-123.408628371176,48.4214804064282
191,Arcadia,Inskip,Inskip St & Arcadia St,-123.397743083351,48.4413822816745
192,Arcadia,Inskip,Arcadia St & Inskip St,-123.397743083351,48.4413822816745
193,Dingley,Selkirk,Dingley Dell & Selkirk Ave,-123.394532227626,48.441553129335
194,Dingley,Selkirk,Selkirk Ave & Dingley Dell,-123.394532227626,48.441553129335
195,Beatty,Grafton,Beatty St & Grafton St,-123.423189711762,48.4265990981139
196,Beatty,Grafton,Grafton St & Beatty St,-123.423189711762,48.4265990981139
197,Craigflower,Garthland,Garthland Rd & Craigflower Rd,-123.412676704134,48.4467431347864
198,Craigflower,Garthland,Craigflower Rd & Garthland Rd,-123.412676704134,48.4467431347864
199,Lockley,Lugrin,Lockley Rd & Lugrin Pl,-123.41186075652,48.4371895319735
200,Lockley,Lugrin,Lugrin Pl & Lockley Rd,-123.41186075652,48.4371895319735
201,Lockley,Lugrin,Lockley Rd & Lugrin Pl,-123.41186075652,48.4371895319735
202,Lockley,Lugrin,Lugrin Pl & Lockley Rd,-123.41186075652,48.4371895319735
203,Esquimalt,Park,Esquimalt Rd & Park Pl,-123.414789680785,48.4300980846095
204,Esquimalt,Park,Park Pl & Esquimalt Rd,-123.414789680785,48.4300980846095
205,Esquimalt,Park,Esquimalt Rd & Park Pl,-123.414789680785,48.4300980846095
206,Esquimalt,Park,Park Pl & Esquimalt Rd,-123.414789680785,48.4300980846095
207,Craigflower,Lampson,Lampson St & Craigflower Rd,-123.401070503578,48.4413738145221
208,Craigflower,Lampson,Craigflower Rd & Lampson St,-123.401070503578,48.4413738145221
209,Esquimalt,Park,Esquimalt Rd & Park Pl,-123.414788154838,48.430126003054
210,Esquimalt,Park,Park Pl & Esquimalt Rd,-123.414788154838,48.430126003054
211,Esquimalt,Park,Esquimalt Rd & Park Pl,-123.414788154838,48.430126003054
212,Esquimalt,Park,Park Pl & Esquimalt Rd,-123.414788154838,48.430126003054
213,Gosper,Tillicum,Gosper Cres & Tillicum Rd,-123.401492871279,48.4439290266205
214,Gosper,Tillicum,Tillicum Rd & Gosper Cres,-123.401492871279,48.4439290266205
215,Alexander,Kingsmill,Alexander Rd & Kingsmill Rd,-123.419935926832,48.4425402876447
216,Alexander,Kingsmill,Kingsmill Rd & Alexander Rd,-123.419935926832,48.4425402876447
217,Aldebury,Old Esquimalt,Aldebury St & Old Esquimalt Rd,-123.398536894815,48.4329654918886
218,Aldebury,Old Esquimalt,Old Esquimalt Rd & Aldebury St,-123.398536894815,48.4329654918886
219,Dunsmuir,MacAulay,MacAulay St & Dunsmuir Rd,-123.404083142191,48.4276051112523
220,Dunsmuir,MacAulay,Dunsmuir Rd & MacAulay St,-123.404083142191,48.4276051112523
221,Dunsmuir,MacAulay,MacAulay St & Dunsmuir Rd,-123.404083142191,48.4276051112523
222,Dunsmuir,MacAulay,Dunsmuir Rd & MacAulay St,-123.404083142191,48.4276051112523
223,Grenville,Woodway,Woodway Rd & Grenville Ave,-123.415571834105,48.4329217787967
224,Grenville,Woodway,Grenville Ave & Woodway Rd,-123.415571834105,48.4329217787967
225,Hadfield,Munro,Munro St & Hadfield Ave,-123.414703125883,48.4233369426167
226,Hadfield,Munro,Hadfield Ave & Munro St,-123.414703125883,48.4233369426167
227,Hadfield,Munro,Munro St & Hadfield Ave,-123.414703125883,48.4233369426167
228,Hadfield,Munro,Hadfield Ave & Munro St,-123.414703125883,48.4233369426167
229,Carlisle,Fraser,Carlisle Ave & Fraser St,-123.413032875643,48.4290117917685
230,Carlisle,Fraser,Fraser St & Carlisle Ave,-123.413032875643,48.4290117917685
231,Carrie,Craigflower,Carrie St & Craigflower Rd,-123.39582200937,48.4402393812064
232,Carrie,Craigflower,Craigflower Rd & Carrie St,-123.39582200937,48.4402393812064
233,Coles,Kindersley,Coles St & Kindersley Rd,-123.420831189967,48.4386736127008
234,Coles,Kindersley,Kindersley Rd & Coles St,-123.420831189967,48.4386736127008
235,Coles,Kindersley,Coles St & Kindersley Rd,-123.420831189967,48.4386736127008
236,Coles,Kindersley,Kindersley Rd & Coles St,-123.420831189967,48.4386736127008
237,Nelson,Sussex,Sussex St & Nelson St,-123.419158909791,48.4308142575353
238,Nelson,Sussex,Nelson St & Sussex St,-123.419158909791,48.4308142575353
239,Gault,Lyall,Gault Cres & Lyall St,-123.402374496773,48.4265324442115
240,Gault,Lyall,Lyall St & Gault Cres,-123.402374496773,48.4265324442115
241,Colville,Phoenix,Colville Rd & Phoenix St,-123.397128124427,48.4388728135898
242,Colville,Phoenix,Phoenix St & Colville Rd,-123.397128124427,48.4388728135898
243,Colville,Phoenix,Colville Rd & Phoenix St,-123.397128124427,48.4388728135898
244,Colville,Phoenix,Phoenix St & Colville Rd,-123.397128124427,48.4388728135898
245,Hotham,Kellett,Hotham St & Kellett Cres,-123.418545573265,48.4394538713024
246,Hotham,Kellett,Kellett Cres & Hotham St,-123.418545573265,48.4394538713024
247,Hotham,Kellett,Hotham St & Kellett Cres,-123.418545573265,48.4394538713024
248,Hotham,Kellett,Kellett Cres & Hotham St,-123.418545573265,48.4394538713024
249,Dunsmuir,Head,Dunsmuir Rd & Head St,-123.399413039588,48.429130909404
250,Dunsmuir,Head,Head St & Dunsmuir Rd,-123.399413039588,48.429130909404
251,Dunsmuir,Head,Dunsmuir Rd & Head St,-123.399413039588,48.429130909404
252,Dunsmuir,Head,Head St & Dunsmuir Rd,-123.399413039588,48.429130909404
253,Admirals,unsigned,unsigned & Admirals Rd,-123.418236286031,48.4370115001099
254,Admirals,unsigned,Admirals Rd & unsigned,-123.418236286031,48.4370115001099
255,Colville,Phoenix,Phoenix St & Colville Rd,-123.397053846851,48.438873693287
256,Colville,Phoenix,Colville Rd & Phoenix St,-123.397053846851,48.438873693287
257,Glengarry,Kindersley,Glengarry Pl & Kindersley Rd,-123.42137542322,48.4391125091945
258,Glengarry,Kindersley,Kindersley Rd & Glengarry Pl,-123.42137542322,48.4391125091945
259,Cunningham,Kindersley,Cunningham St & Kindersley Rd,-123.42221504621,48.4396785312606
260,Cunningham,Kindersley,Kindersley Rd & Cunningham St,-123.42221504621,48.4396785312606
261,Lyall,Paradise,Paradise St & Lyall St,-123.402213694442,48.4265122666379
262,Lyall,Paradise,Lyall St & Paradise St,-123.402213694442,48.4265122666379
263,Head,Malvern,Head St & Malvern St,-123.397995239593,48.4260100784417
264,Head,Malvern,Malvern St & Head St,-123.397995239593,48.4260100784417
265,Head,Lyall,Lyall St & Head St,-123.39823354153,48.4261665380915
266,Head,Lyall,Head St & Lyall St,-123.39823354153,48.4261665380915
267,Esquimalt,Lampson,Lampson St & Esquimalt Rd,-123.406855069078,48.4295893619162
268,Esquimalt,Lampson,Esquimalt Rd & Lampson St,-123.406855069078,48.4295893619162
269,Esquimalt,Lampson,Lampson St & Esquimalt Rd,-123.406855069078,48.4295893619162
270,Esquimalt,Lampson,Esquimalt Rd & Lampson St,-123.406855069078,48.4295893619162
271,Constance,Miles,Constance Ave & Miles St,-123.418227751823,48.4303217262428
272,Constance,Miles,Miles St & Constance Ave,-123.418227751823,48.4303217262428
273,Constance,Miles,Constance Ave & Miles St,-123.418227751823,48.4303217262428
274,Constance,Miles,Miles St & Constance Ave,-123.418227751823,48.4303217262428
275,Highrock,Highrock,Highrock Pl & Highrock Ave,-123.409434793416,48.4335591097454
276,Highrock,Highrock,Highrock Ave & Highrock Pl,-123.409434793416,48.4335591097454
277,Highrock,Highrock,Highrock Pl & Highrock Ave,-123.409434793416,48.4335591097454
278,Highrock,Highrock,Highrock Ave & Highrock Pl,-123.409434793416,48.4335591097454
279,Gore,Head,Gore St & Head St,-123.399451008722,48.4270171017469
280,Gore,Head,Head St & Gore St,-123.399451008722,48.4270171017469
281,Admirals,Bewdley,Admirals Rd & Bewdley Ave,-123.417281961037,48.4252287340044
282,Admirals,Bewdley,Bewdley Ave & Admirals Rd,-123.417281961037,48.4252287340044
283,Nelson,Wood,Wood St & Nelson St,-123.419097273149,48.4286799847114
284,Nelson,Wood,Nelson St & Wood St,-123.419097273149,48.4286799847114
285,Lampson,Rockheights,Rockheights Ave & Lampson St,-123.402866742947,48.4360702562915
286,Lampson,Rockheights,Lampson St & Rockheights Ave,-123.402866742947,48.4360702562915
287,Craigflower,Shirley,Shirley Rd & Craigflower Rd,-123.411095055278,48.4459974965459
288,Craigflower,Shirley,Craigflower Rd & Shirley Rd,-123.411095055278,48.4459974965459
289,Devonshire,Fairview,Devonshire Rd & Fairview Rd,-123.398957768935,48.4357894442737
290,Devonshire,Fairview,Fairview Rd & Devonshire Rd,-123.398957768935,48.4357894442737
291,Devonshire,Fairview,Devonshire Rd & Fairview Rd,-123.398957768935,48.4357894442737
292,Devonshire,Fairview,Fairview Rd & Devonshire Rd,-123.398957768935,48.4357894442737
293,Drake,Effingham,Effingham St & Drake Ave,-123.413376090891,48.4317661732642
294,Drake,Effingham,Drake Ave & Effingham St,-123.413376090891,48.4317661732642
295,Admirals,Lockley,Lockley Rd & Admirals Rd,-123.417268198376,48.4366001179601
296,Admirals,Lockley,Admirals Rd & Lockley Rd,-123.417268198376,48.4366001179601
297,Intervale,Lockley,Lockley Rd & Intervale Ave,-123.414320752947,48.4369222738514
298,Intervale,Lockley,Intervale Ave & Lockley Rd,-123.414320752947,48.4369222738514
299,Intervale,Lockley,Lockley Rd & Intervale Ave,-123.414320752947,48.4369222738514
300,Intervale,Lockley,Intervale Ave & Lockley Rd,-123.414320752947,48.4369222738514
301,Munro,Pooley,Pooley Pl & Munro St,-123.407854937077,48.4213893268512
302,Munro,Pooley,Munro St & Pooley Pl,-123.407854937077,48.4213893268512
303,Admirals,Juno,Admirals Rd & Juno St,-123.417035694651,48.427441166954
304,Admirals,Juno,Juno St & Admirals Rd,-123.417035694651,48.427441166954
305,Admirals,Juno,Admirals Rd & Juno St,-123.417035694651,48.427441166954
306,Admirals,Juno,Juno St & Admirals Rd,-123.417035694651,48.427441166954
307,Old Esquimalt,Park,Old Esquimalt Rd & Park Terr,-123.412458542111,48.4311981672218
308,Old Esquimalt,Park,Park Terr & Old Esquimalt Rd,-123.412458542111,48.4311981672218
309,Blair McLean,Gault,Gault Cres & Blair McLean Lane,-123.416434411937,48.4383247466296
310,Blair McLean,Gault,Blair McLean Lane & Gault Cres,-123.416434411937,48.4383247466296
311,Lampson,Lampson,Lampson St & Lampson Pl,-123.405483711108,48.4311222059854
312,Lampson,Lampson,Lampson Pl & Lampson St,-123.405483711108,48.4311222059854
313,Lampson,Lampson,Lampson St & Lampson Pl,-123.405483711108,48.4311222059854
314,Lampson,Lampson,Lampson Pl & Lampson St,-123.405483711108,48.4311222059854
315,Cairn,Old Esquimalt,Cairn Rd & Old Esquimalt Rd,-123.404893559681,48.432999723234
316,Cairn,Old Esquimalt,Old Esquimalt Rd & Cairn Rd,-123.404893559681,48.432999723234
317,Fraser,Munro,Fraser St & Munro St,-123.415743425092,48.4243723587703
318,Fraser,Munro,Munro St & Fraser St,-123.415743425092,48.4243723587703
319,Fraser,Munro,Fraser St & Munro St,-123.415743425092,48.4243723587703
320,Fraser,Munro,Munro St & Fraser St,-123.415743425092,48.4243723587703
321,Lampson,Reeve,Lampson St & Reeve Pl,-123.402195831132,48.4380143013603
322,Lampson,Reeve,Reeve Pl & Lampson St,-123.402195831132,48.4380143013603
323,Lampson,Reeve,Lampson St & Reeve Pl,-123.402195831132,48.4380143013603
